ref,title,author,lastRunTime,totalVotes,competition,domain,dataDependency,codeDependency,awareness,modularity,configurableOptions,scalability,readability,performance,duplicateCodeElimination
carlmcbrideellis/titanic-leaderboard-a-score-0-8-is-great,Titanic leaderboard: a score > 0.8 is great!,Carl McBride Ellis,2023-12-24 07:25:37.873000,266,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
hamelg/python-for-data-17-dealing-with-dates,Python for Data 17: Dealing With Dates,Greg Hamel,2019-04-15 21:12:29.020000,266,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
kiranscaria/titanic-pytorch,Titanic - PyTorch,Kiran,2018-06-08 05:07:56.140000,266,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
francksylla/titanic-machine-learning-from-disaster,Titanic: Machine Learning from Disaster,Franck Sylla,2016-12-19 18:21:58.690000,263,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
jamesleslie/titanic-eda-wrangling-imputation,"Titanic: EDA, wrangling & imputation",James Leslie,2018-11-21 14:21:32.833000,262,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
swamysm/beginners-titanic,Beginners Titanic,swamysm,2018-03-11 08:59:07.523000,262,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
parulpandey/deep-dive-into-logistic-regression-for-beginners,Deep dive into logistic Regression for Beginners,Parul Pandey,2019-09-29 12:30:14.687000,260,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
cbrogan/xgboost-example-python,XGBoost example (Python),Connor Brogan,2015-04-15 18:33:18.080000,260,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
masumrumi/a-pyspark-tutorial-with-titanic,A PySpark tutorial with Titanic,Masum Rumi,2023-10-27 00:41:25.217000,259,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
vbmokin/titanic-0-83253-comparison-20-popular-models,Titanic (0.83253) - Comparison 20 popular models,Vitalii Mokin,2021-08-08 17:31:35.490000,259,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
octavianwr/dsf-day-4-titanic-supervised,DSF Day 4 - Titanic Supervised,Octavian Wibawa Reksa,2024-08-23 11:39:32.917000,258,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
dmitrykonovalov/fastai-lesson-5b-use-a-framework,fastai-lesson-5b-use a framework,dmitrykonovalov,2025-07-09 23:50:19.367000,251,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
chalkalan/04a-naive,04a_Naive,Alan Chalk,2021-05-07 10:52:08.723000,250,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
aymanlafaz/titanic-feature-engineering-and-random-forests,Titanic : Feature Engineering and Random Forests,Ayman Lafaz,2021-12-02 18:52:35.017000,249,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
pavlofesenko/selling-life-insurance-to-titanic-passengers,Selling life insurance to Titanic passengers,Pavlo Fesenko,2019-02-20 16:57:03.803000,249,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
hyeonho/taitanic-machine-learning-from-disaster,Taitanic:Machine Learning from Disaster,hhl,2019-03-30 23:12:55.277000,242,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
pavansanagapati/tableau-intro-use-cases,Tableau Intro & Use Cases!!!!,Pavan Sanagapati,2020-08-02 17:26:05.997000,242,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
wikaiqi/titaniclearningqi,TitanicLearningQI,Weikai,2017-08-18 12:16:05.450000,242,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
mviola/titanic-eda-simple-model-0-80622,Titanic EDA + Simple Model [0.80622],Massimiliano Viola,2020-09-10 13:23:54.670000,241,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
diaaessam/titanic-problem-tutorial,Titanic Problem_Tutorial,Diaa ELdyin Essam Zaki,2023-08-03 19:59:54.043000,240,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
osemds/first-titanic-and-also-kaggle-attempt,First Titanic (and also Kaggle) attempt,DaveDS,2021-10-19 23:23:07.393000,240,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
stefanschulmeister87/titanic-competition-top-1,Titanic Competition (Top 1%),Stefan Schulmeister,2021-09-19 07:46:28.880000,239,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
damienpark/artificial-neural-network-using-keras,Artificial Neural Network using Keras,Damien Park,2019-10-16 01:27:39.883000,239,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
thilakshasilva/predicting-titanic-survival-using-five-algorithms,Predicting Titanic Survival using Five Algorithms,Thilaksha Silva,2017-12-14 04:46:24.710000,235,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
ryannolan1/titanic-voting-classifier-0-78947,Titanic - Voting Classifier 0.78947,Ryan Nolan,2023-11-04 22:17:33.117000,233,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
funxexcel/titanic-solution-using-random-forest-tool-r,Titanic Solution using Random Forest (Tool - R),Kunaal Naik,2023-09-02 06:21:23.353000,232,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
vikumsw/explaining-random-forest-model-with-shapely-values,Explaining Random Forest Model With Shapely Values,Vikum Sri Wijesinghe,2019-07-29 15:25:10.100000,231,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
abhishek0032/titanic-survival-prediction-feature-engineering,⚓Titanic Survival Prediction:Feature Engineering🚢,Abhishek0032,2025-03-30 16:23:41.987000,229,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
chuanguy/titanic-data-processing-with-python-0-813,Titanic Data Processing with Python(0.813),猫南北,2017-08-05 13:27:53.490000,229,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
sishihara/py310-python-kaggle-start-book-ch02-05,[py310] python-kaggle-start-book-ch02_05,u++,2023-05-13 11:38:37.397000,227,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
carlmcbrideellis/what-is-adversarial-validation,What is Adversarial Validation?,Carl McBride Ellis,2022-10-17 10:46:35.483000,227,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
vbmokin/titanic-top-score-one-line-of-the-prediction,Titanic - Top score : one line of the prediction,Vitalii Mokin,2024-07-24 11:30:37.220000,227,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
andreshg/automl-libraries-comparison,🏄‍♂️ AutoML Libraries Comparison,AndresHG,2021-05-20 08:14:55.480000,226,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
mashimo/a-very-simple-logistic-regression-model,A very simple logistic regression model,Massimo,2018-03-31 16:24:03.430000,223,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
vikumsw/beginners-basic-workflow-introduction,[Beginners] Basic Workflow Introduction,Vikum Sri Wijesinghe,2019-08-18 05:22:08.950000,222,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
davidcoxon/titanic-practice-by-davidcoxon,Titanic practice by Davidcoxon,DavidCoxon,2018-06-03 12:02:03.520000,222,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
sishihara/py310-python-kaggle-start-book-ch02-04,[py310] python-kaggle-start-book-ch02_04,u++,2023-05-13 11:26:59.913000,221,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
hamelg/intro-to-r-part-3-atomic-data-types,Intro to R Part 3: Atomic Data Types,Greg Hamel,2019-07-09 18:06:08.857000,220,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
enerrio/scikit-learn-ml-from-start-to-finish,Scikit-Learn ML from Start to Finish,Aaron Marquez,2017-08-19 02:59:20.443000,219,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
javiervallejos/titanic-simple-decision-tree-model-score-top-3,Titanic: Simple Decision Tree model  score(Top 3%),Javier Vallejos,2021-09-08 14:18:31.687000,218,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
currypurin/titanic-lightgbm,titanicデータをLightGBM推論,currypurin,2019-08-20 10:26:06.763000,213,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
shivadumnawar/titanic-a-complete-tutorial-for-beginners,Titanic : A Complete Tutorial For Beginners,Shiva Dumnawar,2020-12-30 08:32:56.767000,208,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
dmkravtsov/4-1-titanic-with-acc-91-and-f1-87,#4.1 Titanic with ACC 91% and F1 87%,Dmitriy Kravtsov,2020-12-10 09:43:46.737000,208,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
aleksandrmorozov123/machine-learning-excercises,Machine Learning Excercises,Aleksandr Morozov123,2022-05-20 18:24:22.680000,207,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
kartushovdanil/econometrics-is-all-you-need,🎓Econometrics is all you need🎓,Kartushov Danil,2022-02-07 17:27:41.740000,206,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
vbmokin/autoselection-from-20-classifier-models-l-curves,Autoselection from 20 classifier models & L_curves,Vitalii Mokin,2020-10-19 18:03:04.150000,206,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
abhishek0032/data-science-toolkit-codes-skills-to-succeed,Data Science Toolkit: Codes & Skills to Succeed🏆,Abhishek0032,2025-04-10 09:35:46.887000,204,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
kagleo123/titanic-eda-machine-deep-learning,"🚢titanic EDA📈 & Machine , Deep learning💡",wngus_,2023-07-02 08:18:52.897000,204,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
korfanakis/titanic-a-beginner-friendly-approach-to-top-3,Titanic: A beginner-friendly approach to Top 3%,Orfanakis Konstantinos,2020-11-20 15:04:29.920000,203,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
vahidehdashti/titanic-prediction-model-eda,Titanic Prediction model EDA,Vahideh Dashti,2021-03-24 18:52:51.433000,202,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
hasanburakavci/titanic-eda-and-classification-top-5,Titanic Eda and Classification (Top %5),Burak Avcı,2020-12-08 12:35:52.317000,202,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
amerwafiy/titanic-competition-journey-to-100-accuracy,Titanic Competition [Journey to 100% Accuracy],Amer Wafiy,2022-07-24 01:59:04.737000,201,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
demidova/titanic-eda-tutorial,🛳️ Titanic EDA tutorial ✨,Nadia,2025-06-24 08:34:43.820000,200,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
little7/titanic-data-science-solutions,Titanic Data Science Solutions,qwer,2017-04-07 15:04:00.007000,200,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
saife245/titanic-deep-learning-model-with-80-accuracy,Titanic:Deep Learning Model With 80% accuracy,SAIF UDDIN,2020-08-03 14:15:57.207000,199,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
arunkumarramanan/data-science-in-r-and-titanic-survival-prediction,Data Science in R and Titanic Survival Prediction,Arunkumar Venkataramanan,2019-02-25 07:43:05.753000,198,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
niteshranjansingh/titanic-top-solution-which-leads-you-into-top-2,Titanic Top Solution which leads you into Top 2%,Nitesh Ranjan Singh,2021-05-07 10:40:26.020000,197,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
tanmayunhale/titanic-top-4-hyperparameter-tuning,"Titanic - Top 4% , Hyperparameter Tuning ",Tanmay Unhale,2021-01-13 16:23:08.900000,196,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
funxexcel/titanic-solution-random-forest,Titanic Solution : Random Forest,Kunaal Naik,2021-02-27 10:57:01.553000,196,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
kushal1506/titanic-81-1-leader-board-score-guaranteed,Titanic: 81.1% Leader board Score Guaranteed ,kushal Agrawal,2020-10-13 06:40:58.717000,195,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
parulpandey/intrepreting-machine-learning-models,Intrepreting Machine Learning models,Parul Pandey,2020-03-31 02:15:20.587000,195,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
hamelg/python-for-data-29-decision-trees,Python for Data 29: Decision Trees,Greg Hamel,2019-04-27 13:09:26.083000,195,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
jasonm/large-families-not-good-for-survival,Large families not good for Survival,Jason,2023-05-24 00:42:20.717000,195,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
anandhuh/titanic-simple-solution-top-12,Titanic Simple Solution (Top 12%),Anandhu H,2022-02-02 16:49:31.337000,194,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
jamesleslie/titanic-random-forest-grid-search,Titanic: random forest & grid search,James Leslie,2018-11-21 14:24:31.133000,194,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
shivan118/pandas-100-tricks,Pandas 100 tricks,shivan kumar,2020-10-04 18:41:36.847000,193,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
frtgnn/a-simple-guide-to-titanic-survival-classifier,A Simple Guide to Titanic Survival Classifier,Firat Gonen,2021-05-15 08:28:21.777000,193,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
vanguarde/study-series-uplift-modeling,[study series] Uplift modeling,Daniil Karpov,2022-04-10 12:09:52.797000,192,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
adavydenko/titanic-solution-a-beginner-s-guide-russian,Titanic Solution: A Beginner's Guide (Russian),adavydenko,2025-09-13 09:04:52.847000,191,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
hamelg/intro-to-r-part-4-variables,Intro to R Part 4: Variables,Greg Hamel,2019-07-10 14:58:39.267000,191,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
vbmokin/50-tips-data-science-tabular-data-for-beginner,50 Tips: Data Science (tabular data) for beginner,Vitalii Mokin,2021-10-16 21:01:56.167000,190,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
marcovasquez/machine-learning-on-board-titanic-17-algothim,Machine Learning On Board Titanic 🚢 17 Algothim  ,Marco Vasquez E,2019-12-02 19:53:21.507000,190,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
priyankdl/titanic-eda-demo-for-students,Titanic_EDA_Demo_for_Students,PriyankDL,2022-01-25 09:22:59.950000,189,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
bextuychiev/7-coolest-packages-top-kagglers-are-using,7 Coolest Packages Top Kagglers Are Using,bexgboost,2021-09-03 09:19:58.197000,189,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
hamelg/intro-to-r-part-5-vectors,Intro to R Part 5: Vectors,Greg Hamel,2019-07-10 16:18:52.890000,189,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
hillabehar/titanic-analysis-with-r,Titanic Analysis with R,Hilla Behar,2017-12-19 03:40:15.270000,189,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
beiqiwang/predictive-analysis-of-survival-rate-on-titanic,Predictive Analysis of Survival Rate on Titanic,Becky Wang,2017-04-07 01:59:49.353000,188,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
anour98/in-lab2-scikit-learn,In-lab2-Scikit-Learn,a.nour98,2025-09-24 14:20:25.747000,187,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
vbmokin/titanic-predict-using-a-simple-bayesian-network,Titanic : Predict using a simple Bayesian network,Vitalii Mokin,2022-01-05 00:26:16.047000,186,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
plasticgrammer/kaggle-titanic,Kaggleチュートリアル『Titanic生存者予測』をやってみよう！,plasticgrammer,2019-10-04 01:47:12.083000,186,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
pavlofesenko/simplest-top-10-titanic-0-80861,😁 Simplest Top 10% Titanic [0.80861],Pavlo Fesenko,2019-05-04 17:35:06.423000,186,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
marianadeem755/titanic-competition-neuralnetwork-gradiantboosting,Titanic Competition NeuralNetwork|GradiantBoosting,maria nadeem,2024-01-23 17:18:29.057000,185,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
mauriciocap/pytanic,Kernel4f6384900c,mauriciocap,2019-08-17 22:57:27.923000,184,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
salmaokishk/lab-4-notebook-manual,Lab 4 Notebook & Manual,Salma O Kishk,2025-10-12 13:38:03.990000,183,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
rishavnandi/titanic-prediction,titanic_prediction,Rishav Nandi,2022-08-27 04:12:55.883000,183,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
niteshyadav3103/titanic-eda-prediction-top-8,Titanic  EDA + Prediction (top 8%),Nitesh Yadav,2021-07-13 08:20:43.547000,182,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
serkanpeldek/object-oriented-titanics,Object Oriented Titanics,Serkan Peldek,2019-08-10 17:02:52.173000,182,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
sishihara/py310-python-kaggle-start-book-ch02-06,[py310] python-kaggle-start-book-ch02_06,u++,2023-05-13 11:46:27.010000,181,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
motohiro/notebooke9b25a365d,notebooke9b25a365d,Motohiro,2024-06-18 02:48:56.460000,179,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
odins0n/plotly-ultimate-guide-for-beginners,Plotly Ultimate Guide For Beginners📈📊,Sanskar Hasija,2022-01-25 03:34:52.457000,173,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
faressayah/data-science-best-practices-with-pandas-part-1,Data Science BEST Practices with Pandas - PART 1,Fares Sayah,2023-02-15 22:45:30.353000,173,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
vikumsw/explaining-random-forest-model-with-lime,Explaining Random Forest Model With LIME,Vikum Sri Wijesinghe,2019-07-22 13:32:28.277000,173,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
ashishpatel26/advance-pandas-tricks-and-techniques,Advance Pandas Tricks and Techniques,NowYSM,2019-02-20 05:36:52.350000,173,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
sachinkulkarni/an-interactive-data-science-tutorial,An Interactive Data Science Tutorial,SachinKulkarni,2017-03-13 21:35:49.867000,173,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
bextuychiev/beautiful-umap-tutorial-on-100-dimensional-data,Beautiful UMAP - Tutorial on 100-Dimensional Data,bexgboost,2023-02-21 17:25:50.597000,171,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
faressayah/k-means-clustering-private-vs-public-universities,K-Means Clustering🎓Private vs Public Universities,Fares Sayah,2023-02-03 19:50:48.380000,171,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
onedatareader/titanic-data-analysis,Titanic Data Analysis,Chayan Shrang Raj,2022-04-06 07:52:05.107000,170,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
hardikgarg03/titanic-using-random-forest,Titanic Using Random Forest,InSaNe03,2024-02-28 13:43:24.943000,169,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
rafalplis/my-approach-to-titanic-competition,My approach to Titanic competition,Rafal Plis,2017-12-11 21:06:54.797000,169,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
wei10117/titanic-machine-learning-from-disaster,Titanic: Machine Learning from Disaster ,Wei Wang,2017-04-24 06:35:15.857000,169,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
dantefilu/keras-neural-network-a-hitchhiker-s-guide-to-nn,Keras Neural Network - A hitchhiker's guide to NN ,Dante,2021-09-22 18:23:42.557000,168,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
plasticgrammer/titanic-predict-survivors,Titanic: Predict survivors (ΦωΦ),plasticgrammer,2019-12-01 00:29:03.133000,168,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
arthurtok/0-808-with-simple-stacking,~0.808 with Simple Stacking,Anisotropic,2017-10-03 00:39:49.877000,168,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
corazon17/titanic-data-analysis-and-classification,Titanic Data Analysis and Classification,Corazon17,2022-07-04 01:37:21.170000,167,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
massquantity/end-to-end-process-for-titanic-problem,End-to-End process for Titanic problem,massquantity,2017-08-12 05:27:33.180000,167,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
jeremyd/titanic-logistic-regression-in-r,Titanic - Logistic Regression in R,JeremyDong,2017-07-08 23:57:22.940000,167,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
danishyousuf19/titanic-machine-learning-from-disaster,Titanic - Machine Learning from Disaster ,DANISH YOUSUF,2024-08-11 15:31:26.147000,166,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
rohan1506/fastai-tutorial-detailed,FASTAI Tutorial [Detailed],Rohan,2022-01-27 17:41:19.833000,166,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
ruchi798/break-the-ice,🚢 Break the Ice,Ruchi Bhatia,2021-01-23 14:04:46.777000,166,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
samratp/beginner-tutorial-using-votingclassifier-82-27,Beginner Tutorial Using VotingClassifier ~ 82.27,Samrat Pandiri,2018-04-09 05:02:49.593000,166,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
ohseokkim/titanic-missing-and-small-data-are-disaster,Titanic ( Missing and Small Data are Disaster ),OH SEOK KIM,2021-11-30 14:04:23.587000,165,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
jiuzhang/titanic-framework, Titanic Framework,jiuzhang,2018-09-01 02:01:10.997000,165,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
nobodymartin/lightgbm-explanation-practice-with-dataset,LightGBM | Explanation & Practice with dataset,MARTIN,2023-11-08 15:28:00.287000,164,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
bhatnagardaksh/gradient-descent-from-scratch,Gradient Descent from scratch,Daksh Bhatnagar,2024-11-09 03:54:38.250000,164,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
campusx/titanic-single-sample-t-test,titanic-single-sample-t-test,CampusX,2023-04-07 01:05:57.193000,162,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
vbmokin/50-advanced-tips-data-science-for-tabular-data,50 Advanced Tips: Data Science for tabular data,Vitalii Mokin,2021-08-12 20:55:44.113000,162,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
mdmahmudferdous/titanic-survivor-prediction-0-804-top-8,Titanic Survivor Prediction-0.804-(top 8%),Md Mahmud Ferdous,2020-05-10 19:57:02.207000,162,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
subinium/subinium-tutorial-titanic-beginner,[Subinium Tutorial] Titanic (Beginner),Subin An,2019-02-28 12:54:35.313000,162,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
dimitreoliveira/naive-bayes-probabilistic-ml-titanic-survival,Naive Bayes Probabilistic ML - Titanic survival,DimitreOliveira,2018-11-16 20:56:12.150000,162,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
sishihara/py310-python-kaggle-start-book-ch02-07,[py310] python-kaggle-start-book-ch02_07,u++,2023-05-13 11:51:02.307000,161,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
eu1234/titanic-81-57-leaderboard-top-1-no-cheating,Titanic 81.57% Leaderboard Top 1% - no cheating,Danu A.,2025-10-19 05:27:35.357000,160,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
sandhyakrishnan02/logistic-regression-titanic-dataset,Logistic Regression-Titanic Dataset,SandhyaKrishnan02,2023-04-04 17:26:09.090000,160,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
currypurin/tutorial-of-kaggle-ver3-ch5,tutorial of kaggle ver3 ch5,currypurin,2019-06-25 10:38:09.540000,160,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
alexryzhkov/lightautoml-titanic-love,LightAutoML + Titanic = Love :),Alexander Ryzhkov,2021-04-04 13:57:50.097000,159,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
shilongzhuang/statistical-testing-guide-for-beginners,🤓📊 Statistical Testing Guide for Beginners,Shi Long Zhuang,2022-11-29 03:09:12.557000,158,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
roshan77/pyspark-classification-model,pySpark: Classification Model,RKSN,2020-09-01 13:00:53.963000,158,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
aimack/how-to-handle-outliers,How to handle Outliers 🤠,Akash Dey,2021-08-09 08:22:19.873000,157,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
vaishvik25/titanic-eda-fe-3-model-decision-tree-viz,Titanic: EDA + FE + 3 Model + Decision tree Viz,Genos,2021-10-05 20:26:56.573000,157,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
campusx/titanic-clt,titanic-clt,CampusX,2023-03-29 01:13:49.597000,156,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
lordozvlad/leaky-relu-dropout-sigmoid-pytorch,Leaky_relu + dropout + sigmoid (Pytorch),Devlikamov Vlad,2021-12-18 15:06:48.597000,156,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
chumajin/pytorch-neural-network-starter-detail,Pytorch_Neural_Network_Starter_Detail,chumajin,2021-12-06 08:33:34.923000,156,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
bcruise/matplotlib-basics-tutorial,Matplotlib Basics Tutorial,Bill Cruise,2022-03-10 22:31:07.737000,155,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
vbmokin/automatic-eda-with-pandas-profiling,Automatic EDA with Pandas Profiling,Vitalii Mokin,2024-01-20 01:41:48.743000,155,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
nareshbhat/starter-guide-to-build-nlp-ml-model-in-pycaret,⚡Starter Guide to Build NLP-ML Model in PyCaret!⚡,Naresha Bhat,2021-01-01 12:20:43.173000,154,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
bijucyborg/day-1-30-days-of-kaggle,[Day 1] 30 days of Kaggle,Biju Krishnan,2021-08-02 21:29:05.210000,153,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
boss0ayush/extensive-eda-plus-top2,Extensive_EDA_plus_top2%,Ayush Shrivastava,2021-06-11 09:38:32.947000,153,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
hamelg/python-for-data-28-logistic-regression,Python for Data 28: Logistic Regression,Greg Hamel,2020-12-29 18:54:14.887000,153,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
limmyoungjin/r-t2-1-titanic,[R] T2-1. 타이타닉(Titanic),LimMyoungJin,2021-11-15 08:40:23.063000,152,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
bextuychiev/25-pandas-functions-you-didn-t-know-existed,25 Pandas Functions You Didn't Know Existed,bexgboost,2021-09-03 09:01:42.817000,152,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
vahidehdashti/loan-prediction-case-study-dt-rf,loan prediction-case study-DT && RF,Vahideh Dashti,2021-10-18 09:46:55.660000,152,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
vbmokin/merging-fe-prediction-xgb-lgb-logr-linr,"Merging FE & Prediction - xgb, lgb, logr, linr",Vitalii Mokin,2024-11-26 08:34:56.467000,152,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
vaibhavsagar/titanic-by-a-beginner,Titanic by a beginner,Vaibhav Sagar,2018-10-30 03:53:37.960000,152,titanic,Dados Tabulares,0,0,0,0,0,0,0,0,0
